Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,Bennery raw    3/16/2021 1:11:26 PM    (Run: 1),,,,,,,,
0,28420.000,51460.000,946.000,6250.000,300.000,663500.000,780200.000,0.000,16.000
4045,28060.000,60900.000,1046.000,6104.000,280.000,484100.000,642100.000,0.000,4.000
8090,27900.000,56510.000,1044.000,6152.000,290.000,462800.000,605000.000,0.000,12.000
12135,28490.000,53230.000,1038.000,6322.000,308.000,440300.000,576600.000,0.000,18.000
16181,29530.000,52450.000,1050.000,6178.000,296.000,432300.000,569400.000,0.000,14.000
20226,29850.000,51330.000,1048.000,5964.000,316.000,423100.000,550800.000,0.000,10.000
24271,29220.000,51480.000,996.100,6080.000,312.000,419000.000,540000.000,0.000,18.000
28317,29710.000,49930.000,948.000,5986.000,302.000,421000.000,540400.000,0.000,18.000
32362,29530.000,50920.000,988.100,6100.000,264.000,409600.000,543600.000,0.000,18.000
36407,29960.000,50630.000,998.100,6134.000,266.000,410500.000,537100.000,0.000,12.000
40453,30020.000,50330.000,966.100,6086.000,264.000,410900.000,529300.000,0.000,6.000
44498,29760.000,50810.000,966.100,5998.000,242.000,410500.000,533800.000,0.000,22.000
48543,29520.000,49530.000,952.000,6300.000,286.000,408000.000,527400.000,0.000,18.000
52588,29950.000,49520.000,844.000,6114.000,288.000,405900.000,530300.000,0.000,18.000
56634,29710.000,50150.000,962.100,6092.000,254.000,411900.000,536300.000,0.000,6.000
60679,30100.000,51490.000,936.000,6062.000,256.000,411900.000,528000.000,0.000,10.000
64724,29520.000,50670.000,914.000,6096.000,248.000,411100.000,530700.000,0.000,4.000
68770,29700.000,50610.000,924.000,6088.000,260.000,418200.000,533700.000,0.000,10.000
72815,29240.000,51220.000,906.000,6290.000,284.000,401900.000,540900.000,0.000,8.000
76860,29980.000,50150.000,966.100,6054.000,286.000,411900.000,535600.000,0.000,8.000
80906,29350.000,49960.000,910.000,6046.000,324.000,405100.000,522600.000,0.000,16.000
84951,29570.000,50470.000,964.100,5864.000,276.000,407900.000,527900.000,0.000,6.000
88996,29480.000,49710.000,1008.000,5798.000,348.000,408500.000,530500.000,0.000,16.000
93041,29930.000,50300.000,944.000,5842.000,244.000,397700.000,524300.000,0.000,6.000
97087,29770.000,49720.000,940.000,5852.000,290.000,406100.000,526600.000,0.000,2.000
101132,29270.000,49420.000,896.000,6120.000,280.000,404400.000,525200.000,0.000,18.000
105177,29360.000,49790.000,994.100,6152.000,240.000,409800.000,530500.000,0.000,12.000
109223,29300.000,49560.000,878.000,5926.000,256.000,409000.000,528300.000,0.000,10.000
113268,29880.000,50330.000,904.000,5694.000,264.000,403700.000,526500.000,0.000,8.000
117313,29730.000,50900.000,958.100,5836.000,250.000,409800.000,537100.000,0.000,12.000
121359,29780.000,49360.000,928.000,6024.000,284.000,408500.000,530200.000,0.000,8.000
125404,29670.000,50830.000,970.100,5910.000,306.000,411700.000,532600.000,0.000,2.000
129449,29430.000,50120.000,922.000,5988.000,274.000,411500.000,534500.000,0.000,20.000
133494,28890.000,49090.000,958.100,5704.000,248.000,405300.000,532000.000,0.000,14.000
137540,30150.000,50280.000,870.000,5762.000,294.000,402200.000,536900.000,0.000,10.000
141585,29560.000,49230.000,906.000,5890.000,282.000,405700.000,514200.000,0.000,24.000
145630,29800.000,49070.000,978.100,5996.000,218.000,409800.000,535400.000,0.000,12.000
149676,29040.000,49920.000,880.000,5972.000,286.000,408200.000,526600.000,0.000,12.000
153721,29770.000,49730.000,942.000,6122.000,266.000,402100.000,527800.000,0.000,18.000
157766,29890.000,49850.000,972.100,5880.000,302.000,408300.000,531800.000,0.000,10.000
161812,29660.000,49540.000,918.000,6070.000,242.000,407800.000,525700.000,0.000,12.000
165857,28800.000,49070.000,950.000,5852.000,238.000,410900.000,540900.000,0.000,10.000
169902,29690.000,48870.000,968.100,6080.000,238.000,410500.000,537800.000,0.000,8.000
173947,29370.000,50730.000,908.000,5790.000,206.000,404000.000,531200.000,0.000,14.000
177993,29070.000,49590.000,904.000,5852.000,254.000,409800.000,530000.000,0.000,10.000
182038,29700.000,50410.000,850.000,6104.000,220.000,411300.000,528600.000,0.000,18.000
186083,28990.000,50170.000,938.000,6090.000,252.000,403100.000,533300.000,0.000,24.000
190129,29690.000,49400.000,950.000,5908.000,246.000,407700.000,526700.000,0.000,14.000
194174,29970.000,50560.000,914.000,5890.000,232.000,400400.000,522000.000,0.000,16.000
198219,29270.000,49780.000,908.000,6052.000,286.000,408300.000,532900.000,0.000,22.000
202265,29170.000,48730.000,878.000,5878.000,248.000,408300.000,528000.000,0.000,14.000
206310,28490.000,49770.000,860.000,6010.000,256.000,406400.000,522100.000,0.000,12.000
210355,29180.000,49150.000,968.100,5818.000,266.000,409700.000,536900.000,0.000,16.000
214400,29380.000,50520.000,916.000,5838.000,272.000,405500.000,532500.000,0.000,12.000
218446,29350.000,49130.000,968.100,6070.000,250.000,405200.000,523700.000,0.000,2.000
