Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,blank    3/16/2021 2:44:24 PM    (Run: 1),,,,,,,,
0,21820.000,44780.000,710.000,5049.000,232.000,549600.000,725700.000,0.000,16.000
4045,20440.000,52880.000,716.000,5504.000,206.000,409400.000,586400.000,0.000,8.000
8090,20770.000,48990.000,684.000,4885.000,182.000,393000.000,551500.000,0.000,14.000
12135,21490.000,46470.000,686.000,5085.000,220.000,364700.000,528700.000,0.000,10.000
16181,21750.000,45460.000,672.000,4957.000,246.000,364400.000,510700.000,0.000,22.000
20226,22070.000,44640.000,704.000,4987.000,160.000,352900.000,502100.000,0.000,6.000
24271,22060.000,43590.000,806.000,4885.000,202.000,351200.000,502900.000,0.000,8.000
28317,22410.000,43240.000,724.000,4905.000,220.000,351000.000,498400.000,0.000,10.000
32362,22810.000,42760.000,772.000,4981.000,178.000,345100.000,494500.000,0.000,10.000
36407,22140.000,43800.000,686.000,4715.000,190.000,346900.000,498500.000,0.000,6.000
40453,22450.000,43550.000,654.000,4903.000,250.000,343800.000,489200.000,0.000,6.000
44498,22510.000,43930.000,716.000,4885.000,178.000,345400.000,502100.000,0.000,10.000
48543,22270.000,42790.000,770.000,4937.000,198.000,353300.000,496400.000,0.000,2.000
52588,22430.000,43820.000,716.000,4833.000,218.000,345300.000,497300.000,0.000,6.000
56634,22620.000,43810.000,718.000,4867.000,202.000,351500.000,493700.000,0.000,8.000
60679,22660.000,43220.000,708.000,4957.000,222.000,347100.000,492300.000,0.000,20.000
64724,23350.000,44400.000,692.000,4943.000,206.000,353400.000,498200.000,0.000,6.000
68770,22730.000,43520.000,666.000,4883.000,198.000,351800.000,497400.000,0.000,8.000
72815,22570.000,43250.000,736.000,4711.000,252.000,345000.000,488200.000,0.000,4.000
76860,23210.000,42820.000,698.000,4901.000,234.000,345300.000,494200.000,0.000,18.000
80906,22870.000,42840.000,654.000,5055.000,260.000,345100.000,486300.000,0.000,6.000
84951,22260.000,43350.000,702.000,4793.000,206.000,349400.000,499600.000,0.000,10.000
88996,22560.000,43400.000,662.000,4931.000,258.000,350800.000,495200.000,0.000,10.000
93041,23120.000,43400.000,646.000,4983.000,192.000,344300.000,491700.000,0.000,8.000
97087,22900.000,44140.000,626.000,5083.000,222.000,347700.000,494500.000,0.000,12.000
101132,22540.000,44440.000,652.000,4969.000,220.000,345100.000,492400.000,0.000,12.000
105177,22310.000,44300.000,672.000,4955.000,198.000,344100.000,495900.000,0.000,14.000
109223,22620.000,42670.000,728.000,4793.000,214.000,344200.000,501000.000,0.000,18.000
113268,22630.000,43630.000,616.000,4761.000,224.000,341200.000,493600.000,0.000,12.000
117313,22150.000,43010.000,674.000,4797.000,172.000,346200.000,491100.000,0.000,16.000
121359,22620.000,43670.000,674.000,4913.000,210.000,348300.000,485800.000,0.000,16.000
125404,22480.000,43230.000,660.000,4837.000,180.000,344400.000,489800.000,0.000,12.000
129449,22460.000,43040.000,700.000,5023.000,264.000,348500.000,500900.000,0.000,14.000
133494,22540.000,43310.000,662.000,4835.000,202.000,343500.000,493600.000,0.000,10.000
137540,22790.000,43460.000,624.000,4893.000,214.000,352500.000,499800.000,0.000,8.000
141585,22610.000,44050.000,670.000,4981.000,210.000,348300.000,487800.000,0.000,12.000
145630,22290.000,43780.000,724.000,4891.000,212.000,345800.000,488200.000,0.000,8.000
149676,22390.000,43270.000,638.000,4833.000,198.000,348700.000,492900.000,0.000,14.000
153721,22570.000,43960.000,748.000,4947.000,204.000,343900.000,492400.000,0.000,10.000
157766,22070.000,42770.000,664.000,4789.000,178.000,351300.000,499000.000,0.000,8.000
161812,22380.000,42860.000,672.000,4875.000,222.000,349500.000,492200.000,0.000,16.000
165857,22660.000,43180.000,692.000,4803.000,180.000,347700.000,500600.000,0.000,16.000
169902,21880.000,43020.000,594.000,4887.000,216.000,344400.000,485100.000,0.000,10.000
173947,22840.000,42660.000,680.000,5141.000,170.000,338700.000,487500.000,0.000,10.000
177993,21980.000,43720.000,676.000,5015.000,206.000,344500.000,494100.000,0.000,6.000
182038,22240.000,43060.000,702.000,5001.000,202.000,343200.000,493500.000,0.000,20.000
186083,22860.000,43540.000,650.000,4887.000,218.000,345600.000,494300.000,0.000,10.000
190129,22180.000,43510.000,702.000,5089.000,182.000,349600.000,493100.000,0.000,10.000
194174,22310.000,42720.000,698.000,4799.000,192.000,339400.000,493400.000,0.000,12.000
198219,22480.000,43600.000,678.000,4897.000,206.000,347900.000,493700.000,0.000,10.000
202265,22250.000,43060.000,562.000,4863.000,196.000,347400.000,493400.000,0.000,8.000
206310,22130.000,43960.000,656.000,4815.000,204.000,347300.000,497600.000,0.000,6.000
210355,22730.000,43420.000,620.000,4985.000,172.000,345700.000,490200.000,0.000,28.000
214400,22470.000,43780.000,638.000,4915.000,174.000,342400.000,498800.000,0.000,6.000
218446,22500.000,43220.000,672.000,4873.000,218.000,345000.000,496300.000,0.000,16.000
222491,22570.000,42990.000,702.000,4797.000,184.000,342100.000,492900.000,0.000,10.000
226536,21980.000,43620.000,654.000,4797.000,202.000,350300.000,504500.000,0.000,14.000
230582,22380.000,43870.000,726.000,4721.000,190.000,352300.000,494900.000,0.000,6.000
234627,22440.000,43500.000,684.000,4811.000,226.000,344400.000,489200.000,0.000,16.000
238672,22090.000,43740.000,600.000,5007.000,156.000,345400.000,497500.000,0.000,8.000
242718,22250.000,42940.000,688.000,5123.000,172.000,347100.000,492300.000,0.000,16.000
246763,23050.000,43740.000,666.000,5143.000,172.000,348400.000,493500.000,0.000,8.000
250808,22560.000,43630.000,602.000,4873.000,174.000,346800.000,493000.000,0.000,4.000
254853,22080.000,42820.000,622.000,4853.000,166.000,340400.000,495600.000,0.000,10.000
258899,22540.000,44100.000,724.000,4973.000,220.000,343300.000,495300.000,0.000,14.000
262944,22510.000,43030.000,694.000,4797.000,226.000,340600.000,493500.000,0.000,4.000
266989,22100.000,43330.000,660.000,4833.000,204.000,346000.000,488800.000,0.000,18.000
271035,22300.000,43520.000,664.000,4971.000,210.000,345700.000,483100.000,0.000,4.000
275080,22660.000,43410.000,718.000,5035.000,212.000,339600.000,489500.000,0.000,12.000
279125,22020.000,43500.000,676.000,4823.000,182.000,351100.000,500400.000,0.000,16.000
283171,22410.000,43090.000,618.000,4845.000,220.000,345000.000,489500.000,0.000,4.000
287216,22580.000,43410.000,744.000,4999.000,176.000,345800.000,499400.000,0.000,6.000
291261,21640.000,43070.000,700.000,4915.000,180.000,345300.000,483400.000,0.000,14.000
295306,22460.000,44060.000,716.000,4733.000,234.000,346100.000,492500.000,0.000,18.000
299352,22300.000,43730.000,680.000,5005.000,180.000,346800.000,492600.000,0.000,14.000
303397,22660.000,43490.000,748.000,4813.000,172.000,346400.000,490200.000,0.000,18.000
307442,22090.000,43560.000,600.000,4961.000,230.000,345400.000,490700.000,0.000,16.000
311488,22790.000,43800.000,682.000,4871.000,204.000,351400.000,492100.000,0.000,8.000
315533,22300.000,42890.000,638.000,4857.000,176.000,340900.000,490000.000,0.000,6.000
319578,22550.000,43700.000,670.000,4765.000,206.000,349000.000,493800.000,0.000,20.000
323624,22150.000,42640.000,660.000,4857.000,238.000,351100.000,488400.000,0.000,12.000
327669,22230.000,44480.000,622.000,4983.000,216.000,347800.000,506400.000,0.000,8.000
331714,22170.000,43280.000,646.000,5059.000,194.000,343800.000,497500.000,0.000,6.000
335759,22280.000,43490.000,608.000,4645.000,252.000,344400.000,497200.000,0.000,6.000
339805,21920.000,43610.000,642.000,5061.000,178.000,342300.000,490800.000,0.000,10.000
343850,22350.000,43990.000,666.000,4911.000,186.000,345300.000,489600.000,0.000,12.000
347895,22880.000,43310.000,664.000,4909.000,190.000,346500.000,500500.000,0.000,4.000
351941,22510.000,42990.000,674.000,4967.000,216.000,346200.000,495100.000,0.000,6.000
355986,22860.000,43760.000,660.000,5013.000,232.000,343000.000,502000.000,0.000,2.000
360031,22670.000,43160.000,674.000,4983.000,196.000,348400.000,490700.000,0.000,12.000
364077,22090.000,43400.000,614.000,4975.000,216.000,341400.000,484600.000,0.000,8.000
368122,22350.000,44390.000,664.000,4981.000,218.000,343500.000,496500.000,0.000,8.000
372167,22510.000,43080.000,704.000,5043.000,198.000,352200.000,486800.000,0.000,4.000
376212,22230.000,43400.000,682.000,4841.000,162.000,348200.000,498600.000,0.000,8.000
380258,22460.000,43160.000,684.000,4607.000,212.000,348300.000,492500.000,0.000,12.000
384303,22100.000,43600.000,636.000,5063.000,222.000,346400.000,492800.000,0.000,12.000
388348,22130.000,44360.000,710.000,4841.000,210.000,347400.000,501100.000,0.000,8.000
392394,22730.000,43950.000,602.000,4993.000,194.000,350800.000,508300.000,0.000,0.000
396439,22160.000,43910.000,704.000,4721.000,168.000,343000.000,499300.000,0.000,8.000
400484,22860.000,44010.000,662.000,4837.000,204.000,349100.000,500200.000,0.000,14.000
404530,22440.000,43400.000,590.000,4963.000,244.000,346900.000,496600.000,0.000,8.000
408575,23010.000,44810.000,728.000,4897.000,218.000,350100.000,492600.000,0.000,14.000
412620,22210.000,42990.000,688.000,4815.000,188.000,346900.000,493300.000,0.000,10.000
416665,22700.000,44050.000,686.000,4767.000,228.000,343100.000,492000.000,0.000,4.000
420711,22050.000,44330.000,638.000,4861.000,204.000,350100.000,501900.000,0.000,12.000
424756,22510.000,42980.000,678.000,4801.000,194.000,349900.000,494300.000,0.000,18.000
428801,22240.000,44140.000,620.000,4667.000,150.000,347700.000,498900.000,0.000,18.000
432847,22830.000,43320.000,606.000,4899.000,220.000,345700.000,496100.000,0.000,0.000
436892,22260.000,43590.000,570.000,4757.000,190.000,343100.000,495000.000,0.000,10.000
440937,22490.000,45030.000,630.000,5005.000,170.000,348000.000,502200.000,0.000,4.000
444983,22740.000,43890.000,750.000,4993.000,176.000,347900.000,488800.000,0.000,10.000
449028,22500.000,44280.000,670.000,4925.000,202.000,346600.000,494600.000,0.000,4.000
453073,22380.000,43660.000,602.000,4583.000,194.000,344700.000,493200.000,0.000,8.000
457118,22250.000,46140.000,682.000,5041.000,186.000,330800.000,478700.000,0.000,10.000
461164,22770.000,43730.000,636.000,4991.000,174.000,346200.000,491000.000,0.000,8.000
465209,22530.000,43090.000,614.000,4803.000,166.000,347700.000,487900.000,0.000,2.000
469254,22460.000,43270.000,730.000,4957.000,180.000,346100.000,493300.000,0.000,10.000
473300,22280.000,43370.000,628.000,5023.000,218.000,353100.000,500100.000,0.000,10.000
477345,22010.000,43180.000,694.000,4891.000,200.000,341800.000,491300.000,0.000,10.000
481390,22430.000,44190.000,626.000,4829.000,218.000,347900.000,501800.000,0.000,6.000
485436,22840.000,43640.000,628.000,5009.000,186.000,348500.000,498900.000,0.000,10.000
489481,22630.000,43860.000,614.000,4699.000,232.000,344400.000,496600.000,0.000,6.000
493526,21930.000,43920.000,656.000,5209.000,194.000,351800.000,501700.000,0.000,8.000
497571,22050.000,43450.000,628.000,4895.000,190.000,338000.000,495600.000,0.000,14.000
501617,22510.000,45250.000,644.000,4903.000,218.000,346400.000,487800.000,0.000,6.000
505662,22140.000,44580.000,630.000,4907.000,218.000,348900.000,497800.000,0.000,12.000
509707,22500.000,43860.000,684.000,5047.000,198.000,342600.000,490400.000,0.000,4.000
513753,22470.000,42930.000,722.000,4865.000,194.000,347100.000,490700.000,0.000,8.000
517798,22740.000,44550.000,618.000,4815.000,148.000,344400.000,494300.000,0.000,8.000
521843,22400.000,43890.000,600.000,5017.000,194.000,347600.000,501400.000,0.000,12.000
525889,22120.000,42770.000,628.000,4775.000,176.000,343300.000,493600.000,0.000,12.000
529934,22470.000,44390.000,656.000,4877.000,174.000,346400.000,494000.000,0.000,8.000
533979,22250.000,44200.000,750.000,4851.000,224.000,350000.000,495200.000,0.000,14.000
538024,22900.000,44150.000,636.000,4911.000,218.000,344500.000,494500.000,0.000,6.000
542070,22660.000,44210.000,680.000,5005.000,180.000,341300.000,498000.000,0.000,4.000
546115,22780.000,43520.000,632.000,4631.000,218.000,350000.000,500000.000,0.000,6.000
550160,22370.000,44690.000,592.000,4939.000,158.000,349100.000,495600.000,0.000,10.000
554206,22550.000,43400.000,704.000,4781.000,202.000,346800.000,494900.000,0.000,6.000
558251,22140.000,42870.000,652.000,4793.000,160.000,337800.000,485900.000,0.000,10.000
562296,22340.000,43750.000,658.000,4769.000,198.000,346000.000,493000.000,0.000,12.000
566342,22530.000,43310.000,648.000,4947.000,190.000,352000.000,493000.000,0.000,6.000
570387,21970.000,43880.000,648.000,4853.000,196.000,347400.000,496000.000,0.000,14.000
574432,21930.000,42300.000,638.000,4805.000,216.000,347400.000,495800.000,0.000,10.000
578477,23040.000,44830.000,608.000,4777.000,196.000,347300.000,488400.000,0.000,10.000
582523,22770.000,43570.000,628.000,4837.000,232.000,352300.000,502200.000,0.000,12.000
