Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,jdk raw    3/16/2021 2:00:22 PM    (Run: 1),,,,,,,,
0,23450.000,45090.000,808.000,5290.000,232.000,551000.000,702000.000,0.000,10.000
4045,22500.000,52190.000,842.000,5498.000,214.000,424100.000,586000.000,0.000,18.000
8090,22380.000,49740.000,796.000,5674.000,256.000,400100.000,556700.000,0.000,12.000
12135,23500.000,47820.000,874.000,5362.000,270.000,381900.000,543000.000,0.000,8.000
16181,23250.000,46430.000,740.000,5414.000,248.000,383300.000,531100.000,0.000,14.000
20226,23940.000,46430.000,772.000,5416.000,252.000,377900.000,524900.000,0.000,16.000
24271,23900.000,45940.000,830.000,5462.000,226.000,375400.000,510800.000,0.000,6.000
28317,23210.000,44870.000,738.000,5380.000,234.000,365700.000,519000.000,0.000,12.000
32362,24090.000,46000.000,772.000,5476.000,252.000,371300.000,514700.000,0.000,14.000
36407,23460.000,44640.000,808.000,5606.000,226.000,365500.000,510300.000,0.000,18.000
40453,24290.000,44890.000,822.000,5528.000,216.000,367700.000,511500.000,0.000,8.000
44498,23920.000,44840.000,788.000,5442.000,232.000,369600.000,505500.000,0.000,6.000
48543,23450.000,44880.000,846.000,5310.000,236.000,365000.000,516400.000,0.000,16.000
52588,23440.000,43550.000,874.000,5203.000,248.000,364600.000,512600.000,0.000,8.000
56634,24200.000,44570.000,874.000,5406.000,268.000,367300.000,507000.000,0.000,14.000
60679,23690.000,45420.000,744.000,5472.000,208.000,364500.000,504400.000,0.000,8.000
64724,24120.000,44140.000,796.000,5374.000,260.000,368400.000,511000.000,0.000,10.000
68770,24090.000,45180.000,768.000,5334.000,194.000,361400.000,500300.000,0.000,20.000
72815,23770.000,44880.000,728.000,5350.000,264.000,365200.000,511200.000,0.000,14.000
76860,24360.000,44650.000,820.000,5516.000,248.000,361100.000,501600.000,0.000,4.000
80906,24250.000,44520.000,786.000,5304.000,286.000,364700.000,516100.000,0.000,6.000
84951,24150.000,44810.000,806.000,5426.000,246.000,363100.000,498600.000,0.000,14.000
88996,24270.000,43970.000,766.000,5250.000,278.000,352700.000,506700.000,0.000,2.000
93041,24130.000,44750.000,770.000,5566.000,258.000,361400.000,506500.000,0.000,14.000
97087,24180.000,44980.000,824.000,5490.000,268.000,362300.000,508800.000,0.000,20.000
101132,24000.000,44630.000,794.000,5456.000,282.000,364100.000,511700.000,0.000,6.000
105177,23660.000,44560.000,818.000,5238.000,274.000,368000.000,511700.000,0.000,14.000
109223,23830.000,45730.000,762.000,5236.000,212.000,369100.000,514000.000,0.000,6.000
113268,24240.000,45760.000,760.000,5270.000,258.000,362500.000,510400.000,0.000,12.000
117313,23880.000,44280.000,768.000,5504.000,286.000,366300.000,501600.000,0.000,12.000
121359,24010.000,44310.000,732.000,5448.000,274.000,364200.000,509400.000,0.000,14.000
125404,23830.000,45090.000,812.000,5193.000,250.000,369900.000,512000.000,0.000,12.000
129449,24000.000,44120.000,792.000,5252.000,196.000,363900.000,506600.000,0.000,8.000
133494,23470.000,43970.000,788.000,5450.000,232.000,358400.000,506700.000,0.000,4.000
137540,24180.000,44270.000,796.000,5344.000,288.000,364000.000,505000.000,0.000,10.000
